epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
49,2020-12-01,254,BA,Juazeiro,2918407,city,7062,3237.04403,21,126,0,0.0178,218162,True,False
49,2020-11-30,253,BA,Juazeiro,2918407,city,7041,3227.41816,12,126,0,0.0179,218162,False,False
49,2020-11-29,252,BA,Juazeiro,2918407,city,7029,3221.91766,72,126,0,0.0179,218162,False,False
48,2020-11-28,251,BA,Juazeiro,2918407,city,6957,3188.91466,52,126,0,0.0181,218162,False,False
48,2020-11-27,250,BA,Juazeiro,2918407,city,6905,3165.07916,14,126,1,0.0182,218162,False,False
48,2020-11-26,249,BA,Juazeiro,2918407,city,6891,3158.66191,40,125,0,0.0181,218162,False,False
48,2020-11-25,248,BA,Juazeiro,2918407,city,6851,3140.32691,34,125,0,0.0182,218162,False,False
48,2020-11-24,247,BA,Juazeiro,2918407,city,6817,3124.74216,4,125,0,0.0183,218162,False,False
48,2020-11-23,246,BA,Juazeiro,2918407,city,6813,3122.90866,2,125,0,0.0183,218162,False,False
48,2020-11-22,245,BA,Juazeiro,2918407,city,6811,3121.99191,25,125,1,0.0184,218162,False,False
47,2020-11-21,244,BA,Juazeiro,2918407,city,6786,3110.53254,22,124,0,0.0183,218162,False,False
47,2020-11-20,243,BA,Juazeiro,2918407,city,6764,3100.44829,56,124,0,0.0183,218162,False,False
47,2020-11-19,242,BA,Juazeiro,2918407,city,6708,3074.77929,96,124,0,0.0185,218162,False,False
47,2020-11-18,241,BA,Juazeiro,2918407,city,6612,3030.7753,24,124,0,0.0188,218162,False,False
47,2020-11-17,240,BA,Juazeiro,2918407,city,6588,3019.7743,1,124,0,0.0188,218162,False,False
47,2020-11-16,239,BA,Juazeiro,2918407,city,6587,3019.31592,0,124,1,0.0188,218162,False,False
47,2020-11-15,238,BA,Juazeiro,2918407,city,6587,3019.31592,36,123,1,0.0187,218162,False,False
46,2020-11-14,237,BA,Juazeiro,2918407,city,6551,3002.81442,69,122,0,0.0186,218162,False,False
46,2020-11-13,236,BA,Juazeiro,2918407,city,6482,2971.18655,69,122,0,0.0188,218162,False,False
46,2020-11-12,235,BA,Juazeiro,2918407,city,6413,2939.55868,87,122,0,0.019,218162,False,False
46,2020-11-11,234,BA,Juazeiro,2918407,city,6326,2899.68005,74,122,0,0.0193,218162,False,False
46,2020-11-10,233,BA,Juazeiro,2918407,city,6252,2865.76031,31,122,0,0.0195,218162,False,False
46,2020-11-09,232,BA,Juazeiro,2918407,city,6221,2851.55068,0,122,0,0.0196,218162,False,False
46,2020-11-08,231,BA,Juazeiro,2918407,city,6221,2851.55068,51,122,1,0.0196,218162,False,False
45,2020-11-07,230,BA,Juazeiro,2918407,city,6170,2828.17356,66,121,0,0.0196,218162,False,False
45,2020-11-06,229,BA,Juazeiro,2918407,city,6104,2797.92081,64,121,1,0.0198,218162,False,False
45,2020-11-05,228,BA,Juazeiro,2918407,city,6040,2768.58481,39,120,3,0.0199,218162,False,False
45,2020-11-04,227,BA,Juazeiro,2918407,city,6001,2750.70819,2,117,0,0.0195,218162,False,False
45,2020-11-03,226,BA,Juazeiro,2918407,city,5999,2749.79144,1,117,0,0.0195,218162,False,False
45,2020-11-02,225,BA,Juazeiro,2918407,city,5998,2749.33306,2,117,0,0.0195,218162,False,False
45,2020-11-01,224,BA,Juazeiro,2918407,city,5996,2748.41631,0,117,1,0.0195,218162,False,False
44,2020-10-31,223,BA,Juazeiro,2918407,city,5996,2748.41631,38,116,0,0.0193,218162,False,False
44,2020-10-30,222,BA,Juazeiro,2918407,city,5958,2730.99807,72,116,0,0.0195,218162,False,False
44,2020-10-29,221,BA,Juazeiro,2918407,city,5886,2697.99507,75,116,0,0.0197,218162,False,False
44,2020-10-28,220,BA,Juazeiro,2918407,city,5811,2663.61695,56,116,0,0.02,218162,False,False
44,2020-10-27,219,BA,Juazeiro,2918407,city,5755,2637.94795,12,116,0,0.0202,218162,False,False
44,2020-10-26,218,BA,Juazeiro,2918407,city,5743,2632.44745,10,116,1,0.0202,218162,False,False
44,2020-10-25,217,BA,Juazeiro,2918407,city,5733,2627.8637,35,115,0,0.0201,218162,False,False
