epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
49,2020-12-01,254,PE,Petrolina,2611101,city,8409,2373.29849,0,114,0,0.0136,354317,False,True
49,2020-11-30,253,PE,Petrolina,2611101,city,8409,2373.29849,106,114,0,0.0136,354317,True,False
49,2020-11-29,252,PE,Petrolina,2611101,city,8303,2343.38177,188,114,0,0.0137,354317,False,False
48,2020-11-28,251,PE,Petrolina,2611101,city,8115,2290.32194,189,114,0,0.014,354317,False,False
48,2020-11-27,250,PE,Petrolina,2611101,city,7926,2236.97988,33,114,0,0.0144,354317,False,False
48,2020-11-26,249,PE,Petrolina,2611101,city,7893,2227.66619,9,114,0,0.0144,354317,False,False
48,2020-11-25,248,PE,Petrolina,2611101,city,7884,2225.12609,10,114,2,0.0145,354317,False,False
48,2020-11-24,247,PE,Petrolina,2611101,city,7874,2222.30376,21,112,2,0.0142,354317,False,False
48,2020-11-23,246,PE,Petrolina,2611101,city,7853,2216.37686,23,110,0,0.014,354317,False,False
48,2020-11-22,245,PE,Petrolina,2611101,city,7830,2209.8855,182,110,0,0.014,354317,False,False
47,2020-11-21,244,PE,Petrolina,2611101,city,7648,2158.51907,61,110,0,0.0144,354317,False,False
47,2020-11-20,243,PE,Petrolina,2611101,city,7587,2141.30284,39,110,0,0.0145,354317,False,False
47,2020-11-19,242,PE,Petrolina,2611101,city,7548,2130.29575,74,110,0,0.0146,354317,False,False
47,2020-11-18,241,PE,Petrolina,2611101,city,7474,2109.4105,32,110,0,0.0147,354317,False,False
47,2020-11-17,240,PE,Petrolina,2611101,city,7442,2100.37904,84,110,2,0.0148,354317,False,False
47,2020-11-16,239,PE,Petrolina,2611101,city,7358,2076.67146,20,108,0,0.0147,354317,False,False
47,2020-11-15,238,PE,Petrolina,2611101,city,7338,2071.02679,149,108,0,0.0147,354317,False,False
46,2020-11-14,237,PE,Petrolina,2611101,city,7189,2028.97405,39,108,0,0.015,354317,False,False
46,2020-11-13,236,PE,Petrolina,2611101,city,7150,2017.96696,97,108,0,0.0151,354317,False,False
46,2020-11-12,235,PE,Petrolina,2611101,city,7053,1990.59035,48,108,0,0.0153,354317,False,False
46,2020-11-11,234,PE,Petrolina,2611101,city,7005,1977.04316,47,108,0,0.0154,354317,False,False
46,2020-11-10,233,PE,Petrolina,2611101,city,6958,1963.7782,60,108,1,0.0155,354317,False,False
46,2020-11-09,232,PE,Petrolina,2611101,city,6898,1946.84421,101,107,1,0.0155,354317,False,False
46,2020-11-08,231,PE,Petrolina,2611101,city,6797,1918.33866,121,106,1,0.0156,354317,False,False
45,2020-11-07,230,PE,Petrolina,2611101,city,6676,1884.18845,106,105,0,0.0157,354317,False,False
45,2020-11-06,229,PE,Petrolina,2611101,city,6570,1854.27174,106,105,2,0.016,354317,False,False
45,2020-11-05,228,PE,Petrolina,2611101,city,6464,1824.35503,68,103,2,0.0159,354317,False,False
45,2020-11-04,227,PE,Petrolina,2611101,city,6396,1805.16317,15,101,3,0.0158,354317,False,False
45,2020-11-03,226,PE,Petrolina,2611101,city,6381,1800.92968,6,98,0,0.0154,354317,False,False
45,2020-11-02,225,PE,Petrolina,2611101,city,6375,1799.23628,0,98,1,0.0154,354317,False,False
45,2020-11-01,224,PE,Petrolina,2611101,city,6375,1799.23628,22,97,0,0.0152,354317,False,False
44,2020-10-31,223,PE,Petrolina,2611101,city,6353,1793.02715,17,97,0,0.0153,354317,False,False
44,2020-10-30,222,PE,Petrolina,2611101,city,6336,1788.22918,68,97,0,0.0153,354317,False,False
44,2020-10-29,221,PE,Petrolina,2611101,city,6268,1769.03733,54,97,0,0.0155,354317,False,False
44,2020-10-28,220,PE,Petrolina,2611101,city,6214,1753.79674,119,97,0,0.0156,354317,False,False
44,2020-10-27,219,PE,Petrolina,2611101,city,6095,1720.211,108,97,0,0.0159,354317,False,False
44,2020-10-26,218,PE,Petrolina,2611101,city,5987,1689.72982,1,97,2,0.0162,354317,False,False
44,2020-10-25,217,PE,Petrolina,2611101,city,5986,1689.44759,9,95,0,0.0159,354317,False,False
43,2020-10-24,216,PE,Petrolina,2611101,city,5977,1686.90749,72,95,0,0.0159,354317,False,False
43,2020-10-23,215,PE,Petrolina,2611101,city,5905,1666.5867,19,95,0,0.0161,354317,False,False
43,2020-10-22,214,PE,Petrolina,2611101,city,5886,1661.22427,45,95,0,0.0161,354317,False,False
43,2020-10-21,213,PE,Petrolina,2611101,city,5841,1648.52378,55,95,0,0.0163,354317,False,False
43,2020-10-20,212,PE,Petrolina,2611101,city,5786,1633.00096,29,95,-1,0.0164,354317,False,False
43,2020-10-19,211,PE,Petrolina,2611101,city,5757,1624.8162,6,96,0,0.0167,354317,False,False
